date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-11-20,10000.0,10000.0,10000.0,10000.0,2190449610000,219044961,19552,10000.0,10000.0
2023-11-21,10000.0,10000.0,10000.0,10000.0,1606351840000,160635184,10189,10000.0,10000.0
2023-11-22,10000.0,10000.0,10000.0,10000.0,818652950000,81865295,8043,10000.0,10000.0
2023-12-16,10190.0,10200.0,10070.0,10140.0,123727295710,12206139,1623,10000.0,10130.0
2023-12-18,10150.0,10470.0,10150.0,10230.0,879973536250,86001055,8547,10140.0,10240.0
2023-12-19,10240.0,10260.0,10050.0,10120.0,444170876190,43880355,5814,10230.0,10090.0
2023-12-20,10100.0,10130.0,10040.0,10080.0,279830648780,27774377,3934,10120.0,10080.0
2023-12-23,10070.0,10200.0,10050.0,10100.0,293596974560,29081645,3519,10080.0,10090.0
2023-12-24,10060.0,10090.0,10000.0,10040.0,407913463970,40646039,3280,10100.0,10010.0
2023-12-25,10020.0,10060.0,9980.0,10020.0,199703222240,19937078,2533,10040.0,10040.0
2023-12-26,10020.0,10020.0,9920.0,9970.0,199396110280,20002755,3026,10020.0,9950.0
2023-12-27,9950.0,10050.0,9920.0,9990.0,198920219150,19908911,2853,9970.0,10050.0
2023-12-30,10050.0,10090.0,10010.0,10030.0,228403600300,22766769,2183,9990.0,10020.0
2023-12-31,10050.0,10050.0,9980.0,10020.0,209429956200,20908225,1820,10030.0,10020.0
2024-01-01,10010.0,10010.0,9950.0,9980.0,220955886740,22149419,2801,10020.0,9950.0
2024-01-02,9960.0,10010.0,9930.0,9950.0,211949408780,21301602,2066,9980.0,9960.0
2024-01-03,9950.0,10050.0,9950.0,10000.0,228554747060,22862597,1651,9950.0,10000.0
2024-01-06,9990.0,10220.0,9960.0,10110.0,734862685070,72716612,4262,10000.0,10120.0
2024-01-07,10090.0,10140.0,10000.0,10050.0,406836365670,40471644,2830,10110.0,10020.0
2024-01-08,10000.0,10070.0,9980.0,10010.0,286727772180,28634849,2815,10050.0,10020.0
2024-01-09,10010.0,10060.0,9980.0,10020.0,414069206190,41320081,3496,10010.0,10030.0
2024-01-10,10030.0,10170.0,10030.0,10090.0,577958244460,57262974,4862,10020.0,10110.0
2024-01-13,10030.0,10270.0,10030.0,10170.0,593100529460,58315972,5402,10090.0,10170.0
2024-01-14,10160.0,10300.0,10140.0,10220.0,548608777920,53669465,5410,10170.0,10160.0
2024-01-15,10180.0,10190.0,10060.0,10130.0,376602147700,37185432,4803,10220.0,10100.0
2024-01-16,10050.0,10090.0,10030.0,10060.0,299410116820,29763049,4312,10130.0,10070.0
2024-01-17,10060.0,10100.0,10040.0,10060.0,298480477780,29669021,3129,10060.0,10060.0
2024-01-20,10040.0,10070.0,9720.0,9890.0,315837913820,31921592,5259,10060.0,9780.0
2024-01-21,9790.0,9830.0,9680.0,9770.0,266640392010,27305168,3765,9890.0,9830.0
2024-01-22,9770.0,9850.0,9550.0,9710.0,256120051270,26382622,4007,9770.0,9700.0
2024-01-23,9690.0,9700.0,9310.0,9470.0,356875045770,37679007,4154,9710.0,9530.0
2024-01-24,9550.0,9620.0,9450.0,9530.0,446736581580,46857784,3864,9470.0,9580.0
2024-01-27,9580.0,9620.0,9480.0,9530.0,440206776190,46169115,3496,9530.0,9550.0
2024-01-28,9530.0,9800.0,9520.0,9640.0,399533036350,41431809,3677,9530.0,9770.0
2024-01-29,9700.0,9750.0,9560.0,9680.0,369156010920,38130168,3573,9640.0,9670.0
2024-01-30,9640.0,9670.0,9500.0,9560.0,332680229400,34799425,3856,9680.0,9510.0
2024-01-31,9540.0,9620.0,9460.0,9570.0,335577315780,35059880,3832,9560.0,9570.0
2024-02-03,9560.0,9790.0,9560.0,9710.0,454458525220,46812197,3935,9570.0,9680.0
2024-02-04,9680.0,9740.0,9620.0,9670.0,437517558560,45224017,3176,9710.0,9650.0
2024-02-05,9630.0,9720.0,9630.0,9670.0,457752540030,47326319,3473,9670.0,9680.0
2024-02-06,9690.0,9700.0,9610.0,9650.0,522666881720,54142577,3578,9670.0,9620.0
2024-02-07,9640.0,9680.0,9600.0,9640.0,541870259290,56231827,3918,9650.0,9660.0
2024-02-10,9640.0,9690.0,9610.0,9640.0,511948836460,53109574,3711,9640.0,9620.0
2024-02-12,9640.0,9640.0,9480.0,9540.0,438403477570,45953752,3580,9640.0,9490.0
2024-02-13,9500.0,9590.0,9430.0,9500.0,443458387320,46684124,3224,9540.0,9440.0
2024-02-14,9450.0,9470.0,9340.0,9390.0,486331435060,51794837,3863,9500.0,9370.0
2024-02-17,9390.0,9430.0,9240.0,9300.0,462989635950,49771328,3197,9390.0,9270.0
2024-02-18,9240.0,9470.0,9230.0,9400.0,386411345700,41129059,3205,9300.0,9450.0
2024-02-19,9430.0,9530.0,9410.0,9460.0,498134788960,52660597,3295,9400.0,9420.0
2024-02-20,9420.0,9510.0,9410.0,9440.0,587345580950,62188495,3332,9460.0,9450.0
