date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-11-12,10000.0,10000.0,10000.0,10000.0,5473450000,547345,328,10000.0,10000.0
2022-11-13,10000.0,10000.0,10000.0,10000.0,5485740000,548574,268,10000.0,10000.0
2022-11-14,10000.0,10000.0,10000.0,10000.0,4421270000,442127,243,10000.0,10000.0
2022-11-15,10000.0,10000.0,10000.0,10000.0,40916950000,4091695,229,10000.0,10000.0
2022-11-16,10000.0,10000.0,10000.0,10000.0,23702590000,2370259,267,10000.0,10000.0
2023-01-14,10550.0,10980.0,10500.0,10550.0,1595972000,151259,31,10000.0,10860.0
2023-01-16,10890.0,11100.0,10700.0,10890.0,5521225810,506782,222,10550.0,11090.0
2023-01-17,11090.0,11280.0,10920.0,11080.0,3563532890,321725,140,10890.0,10940.0
2023-01-18,10610.0,11060.0,10610.0,10990.0,14623453890,1331067,178,11080.0,11020.0
2023-01-21,11050.0,11050.0,10600.0,10770.0,800367660,74329,68,10990.0,10730.0
2023-01-22,10650.0,10990.0,10620.0,10700.0,919212570,85931,68,10770.0,10670.0
2023-01-23,10980.0,10990.0,10640.0,10700.0,3530975640,329868,60,10700.0,10670.0
2023-01-24,10800.0,10800.0,10710.0,10780.0,2431886980,225542,68,10700.0,10780.0
2023-01-25,10600.0,10710.0,10550.0,10600.0,907403170,85597,44,10780.0,10710.0
2023-01-28,10570.0,10570.0,10380.0,10440.0,1001614160,95973,41,10600.0,10390.0
2023-01-29,10400.0,10400.0,10060.0,10120.0,550975880,54459,31,10440.0,10060.0
2023-01-30,10110.0,10360.0,10080.0,10210.0,245097460,24005,16,10120.0,10140.0
2023-01-31,10210.0,10500.0,10210.0,10250.0,507681440,49538,23,10210.0,10210.0
2023-02-01,10180.0,10470.0,10180.0,10180.0,373123440,36635,9,10250.0,10180.0
2023-02-05,10130.0,10140.0,10100.0,10130.0,217236920,21451,13,10180.0,10100.0
2023-02-06,10030.0,10250.0,10020.0,10060.0,740389680,73621,28,10130.0,10250.0
2023-02-07,10380.0,10380.0,10200.0,10230.0,45421760,4442,7,10060.0,10200.0
2023-02-08,10250.0,10300.0,10210.0,10240.0,66784980,6521,6,10230.0,10270.0
2023-02-12,10160.0,10300.0,10110.0,10140.0,175756130,17325,11,10240.0,10110.0
2023-02-13,10130.0,10130.0,10130.0,10130.0,172078310,16987,8,10140.0,10130.0
2023-02-14,10110.0,10130.0,10090.0,10100.0,915623220,90669,18,10130.0,10090.0
2023-02-15,10040.0,10240.0,10040.0,10040.0,258863310,25773,14,10100.0,10040.0
2023-02-19,10040.0,10240.0,10040.0,10070.0,1606449470,159588,17,10040.0,10050.0
2023-02-20,10090.0,11000.0,10090.0,10720.0,51813165150,4833408,159,10070.0,10790.0
2023-02-21,10810.0,10880.0,10550.0,10750.0,8839037160,821882,107,10720.0,10660.0
2023-02-22,10600.0,10840.0,10600.0,10720.0,635127450,59243,29,10750.0,10820.0
